compissueURI,component,intissueURI,integrated
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#PharmaceuticalProducts>","""Pharmaceutical Products""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#FoodSafety>","""Food Safety""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#MarketPerformance>","""Market Performance""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalIntermediateGoods>","""Agricultural Intermediate Goods""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#OtherTradeRestrictions>","""Other Trade Restrictions""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalPrices>","""Agricultural Prices""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalImports>","""Agricultural Imports""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#IntraregionalTradedomesticTrade>","""Intraregional Trade (Domestic Trade)""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalEmployment>","""Agricultural Employment""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#MarketStructure>","""Market Structure""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#TradeAgreements>","""Trade Agreements""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LaborSupply>","""Labor Supply""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Investment>","""Investment""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ClimateChange>","""Climate Change""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ForestProducts>","""Forest Products""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#MarketSupport>","""Market Support""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalProductionCosts>","""Agricultural Production Costs""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LaborProductivity>","""Labor Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#MarketInfrastructure>","""Market Infrastructure""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#EthicalTreatmentOfAnimals>","""Ethical Treatment of Animals""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalBarter>","""Agricultural Barter""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#RuralPopulation>","""Rural Population""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalProductivity>","""Agricultural Productivity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AgriculturalDebt>","""Agricultural Debt""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#TariffsTaxesSubsidies>","""Tariffs, Taxes, Subsidies""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#MarketStandardsRegulationsAndPolicies>","""Market Standards, Regulations, and Policies""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LaborCosts>","""Labor Costs""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AgriculturalSector>","""Agricultural sector"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#OzoneDepletion>","""Ozone Depletion""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Evapotranspiration>","""Evapotranspiration""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#OceanAcidification>","""Ocean Acidification""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Topography>","""Topography""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#NaturalDisasters>","""Natural Disasters""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AirPollution>","""Air Pollution""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ForestEcology>","""Forest Ecology""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Precipitation>","""Precipitation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Forests>","""Forests""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SeaLevelRise>","""Sea Level Rise""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ClimateChangeAdaptation>","""Climate Change Adaptation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#GreenhouseGasMitigation>","""Greenhouse Gas Mitigation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Desertification>","""Desertification""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#RenewableEnergy>","""Renewable Energy""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Runoff>","""Runoff""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#CarbonSequestration>","""Carbon Sequestration""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#GreenhouseGasEmissions>","""Greenhouse Gas Emissions""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ClimateChange>","""Climate Change""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#AirQuality>","""Air Quality""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#PollutionPrevention>","""Pollution Prevention""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#GroundwaterRechargeAndOverdraft>","""Groundwater Recharge and Overdraft""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#OceanCirculation>","""Ocean Circulation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ForestCanopyCover>","""Forest Canopy Cover""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Floods>","""Floods""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Erosion>","""Erosion""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WeatherHazards>","""Weather Hazards""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WaterAvailability>","""Water Availability""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#AirAndClimate>","""Air & climate"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Grasslands>","""Grasslands""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WildAnimalTrade>","""Wild Animal Trade""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Ecotourism>","""Ecotourism""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#EcosystemHealth>","""Ecosystem Health""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SpeciesThreatenedWithExtinction>","""Species Threatened with Extinction""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Contamination>","""Contamination""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ProtectionOfThreatenedAndRareEcosystems>","""Protection of Threatened & Rare Ecosystems""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ForestEcology>","""Forest Ecology""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Forests>","""Forests""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#InvasiveSpecies>","""Invasive Species""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SpeciesMigration>","""Species Migration""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SpeciesIntroduction>","""Species Introduction""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LandCover>","""Land Cover""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LandscapeChanges>","""Landscape Changes""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#EcosystemManagement>","""Ecosystem Management""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Agrobiodiversity>","""Agrobiodiversity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Pollination>","""Pollination""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#DiseasesAndPests>","""Diseases and Pests""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SpeciesDiversity>","""Species Diversity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#LandFragmentation>","""Land Fragmentation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Eutrophication>","""Eutrophication""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#GeneticDiversityWithinSpecies>","""Genetic Diversity within Species""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Wetlands>","""Wetlands""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ForestCanopyCover>","""Forest Canopy Cover""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Habitats>","""Habitats""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#Biodiversity>","""Biodiversity"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Grasslands>","""Grasslands""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#OzoneDepletion>","""Ozone Depletion""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Grazing>","""Grazing""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WildAnimalTrade>","""Wild Animal Trade""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#TerrestrialProtectedAreas>","""Terrestrial Protected Areas""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Soilsquality>","""Soils--Quality""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Forests>","""Forests""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#MarineProtectedAreas>","""Marine Protected Areas""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Seed>","""Seed""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WaterQuality>","""Water Quality""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#NonrenewableEnergy>","""Non-Renewable Energy""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ForestManagementPractices>","""Forest Management Practices""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#EcosystemManagement>","""Ecosystem Management""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Agrobiodiversity>","""Agrobiodiversity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#WaterRights>","""Water Rights""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#Pollination>","""Pollination""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#RenewableEnergy>","""Renewable Energy""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#CulturalProtectionAndConservation>","""Cultural Protection and Conservation""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ResourceRights>","""Resource Rights""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#SpeciesDiversity>","""Species Diversity""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#TechnologyTransfer>","""Technology Transfer""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ClimateChange>","""Climate Change""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
"<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsourceindiv.rdf#ForestProducts>","""Forest Products""","<http://asi.ice.ucdavis.edu/sustsource/schemas/sustsource.owl#CommonPoolResources>","""Common pool resources"""
